_id,SITE_ID,DESCRIPTION,SITE_DISTANCE,LONGITUDE,LATITUDE,RSECT_ID,ROAD_NAME,TDIST_START,TDIST_END,GAZETTAL_DIRECTION,HOURS,MON,TUE,WED,THU,FRI,SAT,SUN,WEEKDAY_AVERAGE,WEEKEND_AVERAGE
30,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,5 to 6,14,10,12,7,9,5,6,10,5
31,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,6 to 7,40,41,43,38,40,43,31,40,37
32,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,7 to 8,70,62,67,79,84,83,52,72,67
33,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,8 to 9,92,79,78,84,126,97,76,92,86
34,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,9 to 10,85,77,73,94,107,133,86,87,109
35,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,10 to 11,74,77,67,76,103,115,84,79,99
36,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,11 to 12,86,86,81,87,107,129,83,89,106
37,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,12 to 13,100,84,95,107,129,118,103,103,110
38,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,13 to 14,93,74,76,100,113,121,76,91,98
39,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,14 to 15,86,72,94,99,151,105,83,100,94
40,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,15 to 16,94,86,88,106,108,76,80,96,78
41,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,16 to 17,98,85,103,100,128,80,84,103,82
42,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,17 to 18,53,61,74,80,85,58,56,70,57
43,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,18 to 19,47,42,40,51,115,47,37,59,42
44,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,19 to 20,21,25,21,25,56,32,28,29,30
45,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,20 to 21,10,5,12,12,19,11,12,11,11
46,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,21 to 22,3,3,5,5,6,5,3,4,4
47,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,22 to 23,2,2,2,2,4,6,3,2,4
48,131646,""" Sth of Myora Res- Dunwich""",2.5,153.41108066023,-27.4826894976175,1000,"""EAST COAST ROAD""",0,9.36,GAZETTAL,23 to 24,1,0,1,1,1,4,0,1,2
49,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,0 to 1,0,0,0,2,2,2,5,1,3
50,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,1 to 2,0,1,0,0,0,1,2,0,1
51,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,2 to 3,0,1,0,1,0,1,1,0,1
52,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,3 to 4,1,1,1,1,1,2,1,1,1
53,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,4 to 5,5,4,5,3,5,2,1,4,1
54,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,5 to 6,25,27,26,21,19,8,10,23,9
55,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,6 to 7,49,37,33,44,45,35,27,42,31
56,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,7 to 8,57,59,60,48,44,43,47,53,45
57,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,8 to 9,70,79,74,75,80,71,81,75,76
58,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,9 to 10,87,66,71,67,62,91,122,70,106
59,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,10 to 11,95,79,71,79,85,113,124,82,119
60,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,11 to 12,101,66,83,88,86,105,131,85,118
